Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-731.677739572729	3	3	2
200	-746.84608066977	5	6	0
300	-729.954969993267	4	2	0
400	-723.06891226323	2	1	1
500	-733.838323883763	3	3	1
600	-727.600475667662	2	2	1
700	-735.089898198212	4	3	0
800	-738.178643089654	4	2	1
900	-738.274412042827	3	5	1
1000	-738.725701677612	4	3	0
1100	-729.195030405241	2	2	0
1200	-730.126097164835	3	1	1
1300	-742.938868389525	5	5	1
1400	-735.314000531937	2	5	0
1500	-727.474985436878	2	3	0
1600	-726.625573899364	2	2	0
1700	-726.363010461274	1	3	0
1800	-731.544415935943	3	3	1
1900	-737.191872484704	4	4	1
2000	-741.777424511478	5	3	2
2100	-733.763557904488	4	2	2
2200	-727.361784664698	2	1	3
2300	-736.872863145181	2	4	2
2400	-732.449027898212	3	4	1
2500	-730.372572050701	4	1	0
2600	-734.989176582884	4	3	0
2700	-733.928729017716	4	3	1
2800	-725.313735570597	2	2	0
2900	-730.291766868924	1	4	0
3000	-732.967475693049	2	3	0
3100	-736.68836878296	2	5	0
3200	-737.406781482968	5	4	2
3300	-742.926971184706	4	6	2
3400	-735.347230707436	4	4	0
3500	-740.586539038461	3	5	1
3600	-746.984663901346	9	1	1
3700	-735.050053116704	5	1	0
3800	-728.774224293191	3	2	1
3900	-734.710351165338	3	4	0
4000	-725.240264395448	2	1	1
4100	-730.102590869214	3	2	2
4200	-723.500094185669	1	2	0
4300	-738.01892496603	5	1	3
4400	-724.551203261872	2	2	0
4500	-733.678069253679	1	5	1
4600	-733.975837282989	3	4	1
4700	-725.081610433072	2	2	1
4800	-739.222499030157	2	5	2
4900	-723.794687732198	1	2	0
5000	-733.166862282448	4	2	2
5100	-732.522021464457	5	1	0
5200	-725.740816491061	2	2	0
5300	-737.771186249293	3	4	0
5400	-734.221182117825	3	2	1
5500	-731.438411541658	3	3	0
5600	-731.378188864524	3	3	0
5700	-734.22302206115	4	2	1
5800	-734.224805747948	4	4	1
5900	-743.865928112892	4	5	1
6000	-737.563185797262	2	5	1
6100	-733.992061619765	3	3	0
6200	-729.975338850181	3	2	0
6300	-732.081280997125	4	1	1
6400	-738.484977231209	3	5	1
6500	-730.335414870728	4	1	0
6600	-729.918968361993	1	4	0
6700	-742.509326607286	6	2	1
6800	-736.263824582847	4	4	1
6900	-729.575677634969	3	2	0
7000	-729.472662233859	3	1	1
7100	-738.765211731559	5	3	1
7200	-740.036375656666	5	3	2
7300	-748.326705291899	5	5	1
7400	-742.084080562584	3	6	0
7500	-742.114854151175	4	3	2
7600	-733.43274079639	3	3	0
7700	-740.165694336787	5	2	1
7800	-736.822652763317	5	3	1
7900	-727.557616641323	3	2	3
8000	-748.922922301982	5	4	1
8100	-729.800648883089	4	2	0
8200	-734.627522836267	3	4	1
8300	-725.347099546548	1	2	2
8400	-741.025362230076	5	3	1
8500	-726.631299260679	4	1	0
8600	-739.139294256522	3	5	0
8700	-727.67642487744	3	1	2
8800	-725.452968545321	3	1	0
8900	-731.653104347919	2	4	1
9000	-736.671671398955	2	3	1
9100	-737.644451955345	4	2	1
9200	-727.774089214174	3	1	1
9300	-736.258687550226	4	4	0
9400	-727.694806234306	3	2	0
9500	-732.245909913229	3	1	2
9600	-742.139185941333	6	3	1
9700	-737.617160200308	6	3	1
9800	-736.942438846435	4	4	2
9900	-735.59335918467	2	4	1
10000	-738.034074161517	3	5	1
10100	-749.173542000483	6	5	0
10200	-727.15131146187	2	2	1
10300	-730.783230159319	3	2	1
10400	-726.70803737768	3	1	0
10500	-734.037685836121	4	3	1
10600	-728.064186104188	2	3	0
10700	-736.615192509063	4	4	0
10800	-730.741879580059	4	2	1
10900	-724.958121728509	2	2	0
11000	-738.446287988192	4	3	1
11100	-728.388383748889	3	2	1
11200	-735.489057635505	3	4	0
11300	-731.718403099822	4	1	2
11400	-731.426546883863	2	2	1
11500	-732.791059602669	3	3	1
11600	-737.064754558769	5	2	0
11700	-725.627057413784	1	3	0
11800	-731.323000620604	2	3	0
11900	-739.225536792471	6	2	1
12000	-733.578891250889	5	2	0
12100	-722.395654261029	2	1	0
12200	-722.547925017793	1	2	0
12300	-735.269043194243	5	2	0
12400	-725.566084710323	1	2	0
12500	-728.860922421666	2	1	2
12600	-746.947122303136	6	3	0
12700	-725.068154810396	2	1	0
12800	-735.026416069362	2	4	0
12900	-731.089924642516	3	2	1
13000	-728.014053959758	2	3	0
13100	-726.121426832165	1	2	0
13200	-725.140901955945	2	2	1
13300	-724.549789032536	2	2	0
13400	-730.946139271857	2	2	2
13500	-732.859102666904	1	5	0
13600	-728.962026954402	2	2	0
13700	-725.969967055095	1	3	1
13800	-734.62879062167	3	2	0
13900	-730.344730098521	3	2	0
14000	-729.223562057855	3	2	1
14100	-733.269202191179	3	3	0
14200	-733.847774570536	5	2	1
14300	-730.391985537021	2	3	1
14400	-733.789026271712	4	4	0
14500	-729.798508901333	1	4	2
14600	-739.552986707108	5	2	1
14700	-735.542584367976	2	4	1
14800	-760.542419980616	7	4	4
14900	-726.967666199919	2	2	1
15000	-731.217262787854	3	1	1
15100	-734.254557464075	5	3	1
15200	-723.021560863638	2	2	0
15300	-736.183264810065	6	1	0
15400	-729.867369747087	3	2	0
15500	-725.457925047512	3	1	0
15600	-725.243589057175	2	2	0
15700	-730.842008913703	4	2	0
15800	-733.913988690927	2	3	1
15900	-734.411680125249	4	3	1
16000	-735.807453594754	3	4	0
16100	-737.298667540492	3	5	0
16200	-730.920087870144	4	1	0
16300	-729.298388112238	3	1	2
16400	-739.892306211628	1	6	0
16500	-728.524744634101	2	2	2
16600	-725.35537648885	2	1	0
16700	-731.238995071266	1	3	1
16800	-736.238321802401	5	2	2
16900	-741.69766064214	2	4	0
17000	-738.119475448874	5	1	1
17100	-729.230101561684	4	1	1
17200	-731.390215522829	3	2	2
17300	-734.246124023837	6	1	1
17400	-733.326408851707	3	3	1
17500	-730.478895586398	3	2	0
17600	-738.288335734328	1	5	2
17700	-728.408564117957	2	2	0
17800	-736.582579286821	3	5	0
17900	-724.092454594234	1	1	1
18000	-728.155596213022	4	2	0
18100	-739.530380901732	6	2	1
18200	-724.461540613339	2	2	0
18300	-723.148374766706	1	2	1
18400	-727.931585547345	3	1	3
18500	-726.251072834721	1	2	0
18600	-727.252785906654	1	4	1
18700	-726.676899420973	3	1	1
18800	-744.694981172814	4	6	1
18900	-725.407767019781	2	1	0
19000	-736.303026066273	4	4	0
19100	-740.944353274024	3	4	3
19200	-730.837815254076	3	1	2
19300	-725.960193642768	2	2	1
19400	-725.515626627438	3	1	1
19500	-733.372369708194	4	2	1
19600	-732.609643556346	4	2	0
19700	-736.035739036583	3	4	2
19800	-728.481350073998	2	2	0
19900	-751.363419211441	8	3	1
20000	-729.656499961435	2	3	0
20100	-734.119646537159	1	4	2
20200	-738.623289934074	7	2	1
20300	-738.196982793873	3	5	0
20400	-726.202057866432	3	1	1
20500	-739.46871016749	6	2	1
20600	-731.262275500773	2	3	1
20700	-737.707866848698	6	3	2
20800	-729.565357940239	3	1	1
20900	-727.130067444117	3	2	1
21000	-727.455557607444	2	2	0
21100	-728.706042724509	1	3	0
21200	-742.730516239555	4	5	0
21300	-731.671842994687	1	3	1
21400	-730.35343202582	1	3	1
21500	-724.531788410373	1	1	0
21600	-725.817344115619	3	1	0
21700	-738.86350048384	5	3	1
21800	-725.855388024957	3	1	1
21900	-731.045195123828	4	3	0
22000	-730.704849233077	4	2	0
22100	-733.104053246638	2	4	1
22200	-737.173559648244	3	3	1
22300	-735.422634023976	2	5	0
22400	-734.215393766306	1	5	0
22500	-742.370814718346	6	1	1
22600	-726.559721963904	3	2	0
22700	-734.333726178974	3	4	2
22800	-726.613016919834	3	1	0
22900	-723.990583965995	1	1	0
23000	-724.602946153467	2	2	0
23100	-747.702394594305	7	4	0
23200	-730.579244273806	2	2	1
23300	-735.344662304731	3	2	0
23400	-742.584961948606	6	3	0
23500	-735.450454182846	1	5	0
23600	-729.325231301319	3	2	0
23700	-735.392767579356	4	3	0
23800	-729.203635586563	4	1	1
23900	-732.617978472187	3	2	0
24000	-734.295286123368	5	3	1
24100	-733.484628165797	5	1	0
24200	-730.301290407404	2	4	2
24300	-740.175641786672	3	5	1
24400	-729.554040034792	3	3	1
24500	-736.438405494901	3	4	1
24600	-727.384776607297	3	2	0
24700	-732.861089463054	3	4	1
24800	-728.533365966658	2	3	0
24900	-730.817240612636	3	2	1
25000	-725.205540851005	1	2	0
25100	-730.483758767846	3	1	1
25200	-739.722463887456	4	4	1
25300	-733.625289456126	3	4	0
25400	-725.945930876238	2	1	0
25500	-737.163352687209	5	3	0
25600	-740.458305860503	5	3	1
25700	-727.426430446043	3	1	0
25800	-726.132429923917	2	2	1
25900	-743.312373290469	7	2	1
26000	-735.689624044198	4	3	0
26100	-737.687313837383	2	5	0
26200	-727.108249534822	2	1	3
26300	-743.615090825318	6	3	0
26400	-735.806573628367	4	3	1
26500	-729.536067958973	3	2	1
26600	-727.807878509643	2	3	0
26700	-737.550775165329	5	3	0
26800	-744.033151756973	2	6	1
26900	-725.398217519071	1	1	2
27000	-729.841088913536	3	1	0
27100	-737.931423027317	5	2	0
27200	-748.481925523374	5	6	0
27300	-735.314502934482	3	3	0
27400	-733.750120329852	3	2	0
27500	-723.848877165987	1	2	0
27600	-730.504342261713	3	3	0
27700	-730.155251900087	1	4	0
27800	-742.150780781344	5	4	1
27900	-727.258093997652	3	2	0
28000	-734.631251117065	3	4	0
28100	-735.546023491145	4	3	1
28200	-735.055035941716	2	4	1
28300	-728.164948492166	2	2	0
28400	-728.596105191349	2	3	1
28500	-728.21780139311	3	1	1
28600	-731.707131690392	2	3	0
